#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
25964,-1.99,1.99,-9.93
24964,-1.01,1.01,-5.07
24940,-0.33,0.33,-1.64
24964,0.11,-0.11,0.55
23928,0.35,-0.35,1.73
23924,0.61,-0.61,3.05
23920,0.99,-0.99,4.97
23900,1.50,-1.50,7.52
23924,2.10,-2.10,10.50
24964,2.79,-2.79,13.97
24980,3.62,-3.62,18.12
24948,4.51,-4.51,22.53
24952,5.29,-5.29,26.47
24952,5.92,-5.92,29.61
24976,6.15,-6.15,30.77
24952,5.90,-5.90,29.50
24940,5.14,-5.14,25.71
24952,4.22,-4.22,21.11
24980,2.99,-2.99,14.96
24908,1.74,-1.74,8.71
23936,0.68,-0.68,3.39
23928,-0.27,0.27,-1.36
24956,-0.95,0.95,-4.77
24964,-1.21,1.21,-6.05
24948,-1.34,1.34,-6.71
24956,-1.43,1.43,-7.13
24952,-1.45,1.45,-7.26
24956,-1.41,1.41,-7.03
24976,-1.09,1.09,-5.46
24960,-0.66,0.66,-3.28
24944,-0.39,0.39,-1.93
24968,-0.12,0.12,-0.62
24940,0.28,-0.28,1.42
23928,0.64,-0.64,3.20
23920,0.99,-0.99,4.93
23904,1.37,-1.37,6.86
23908,1.79,-1.79,8.95
23912,2.17,-2.17,10.86
24972,2.59,-2.59,12.97
