#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
Done!
25992,-4.97,4.97,-14.92
25952,-3.93,3.93,-11.79
26028,-3.11,3.11,-9.33
24944,-2.59,2.59,-7.78
24948,-2.46,2.46,-7.39
24964,-2.65,2.65,-7.94
24952,-2.98,2.98,-8.93
24948,-3.48,3.48,-10.43
26008,-4.34,4.34,-13.03
25976,-5.32,5.32,-15.95
26012,-6.15,6.15,-18.44
26032,-6.86,6.86,-20.59
25992,-7.57,7.57,-22.70
25988,-8.18,8.18,-24.55
25992,-8.50,8.50,-25.50
26012,-8.46,8.46,-25.39
26004,-8.14,8.14,-24.41
25980,-7.50,7.50,-22.50
25988,-6.62,6.62,-19.85
26008,-5.73,5.73,-17.20
26008,-4.68,4.68,-14.03
25948,-3.62,3.62,-10.87
26004,-2.88,2.88,-8.63
24968,-2.43,2.43,-7.30
24940,-2.23,2.23,-6.70
24976,-2.15,2.15,-6.46
24956,-2.08,2.08,-6.24
24964,-1.87,1.87,-5.60
24936,-1.62,1.62,-4.87
24988,-1.44,1.44,-4.32
24940,-1.23,1.23,-3.69
24972,-0.98,0.98,-2.95
24952,-0.76,0.76,-2.29
24960,-0.57,0.57,-1.71
24952,-0.39,0.39,-1.17
24956,-0.21,0.21,-0.64
24932,-0.08,0.08,-0.24
24980,0.03,-0.03,0.09
23908,0.12,-0.12,0.35
23908,0.27,-0.27,0.82
23912,0.99,-0.99,2.98
23908,1.98,-1.98,5.95
23924,3.06,-3.06,9.17
23928,4.27,-4.27,12.82
24960,5.86,-5.86,17.58
24968,7.82,-7.82,23.47
24968,10.18,-10.18,30.55
27028,12.46,-12.46,37.38
27052,14.42,-14.42,43.27
27028,15.76,-15.76,47.29
